n_tokens,n_tokens_entity,n_tokens_cat,n_tokens_entity_cat,entity,cat,p_y,p_y_x,p_xy,h_xy,pmi,npmi
58944,24910,2601,1122,china,posemo,0.04412662866449511,0.04504215174628663,0.019035016286644953,5.715200385482543,0.020535331992742618,0.0035931079590674386
58944,24910,1259,503,china,negemo,0.021359256243213897,0.02019269369731032,0.008533523344191097,6.872642756285808,-0.05616435258585528,-0.008172162380255636
58944,24910,162,44,china,they,0.002748371335504886,0.0017663588920112405,0.000746471226927253,10.387625727454038,-0.44208818995537025,-0.04255911808479493
58944,24910,431,146,china,we,0.0073120249728555915,0.00586109995985548,0.0024769272529858847,8.657232787211319,-0.22118295703665877,-0.02554892105516624
58944,24910,541,169,china,tentat,0.009178203040173725,0.006784423926134083,0.002867128121606949,8.446177909809151,-0.30220205256465554,-0.03577974035021056
58944,24910,597,267,china,certain,0.010128257328990227,0.01071858691288639,0.004529723127035831,7.786361414403782,0.0566500563664,0.007275549303632962
58944,24910,1058,518,china,money,0.017949239956568948,0.020794861501405058,0.00878800217155266,6.830249058404782,0.14715814119999082,0.02154506225785563
58944,24910,137,82,china,friend,0.002324239956568947,0.0032918506623845845,0.0013911509229098805,9.489505341473253,0.3480568327948808,0.03667807965434421
58944,24910,2801,1225,china,achieve,0.04751967969598263,0.04917703733440385,0.02078243756786102,5.588491312201403,0.03428285907747129,0.0061345463672138525
58944,24910,506,209,china,negate,0.00858441910966341,0.008390204737053392,0.0035457383279044515,8.139698214010453,-0.02288390596390192,-0.0028113948898637305
58944,24910,745,341,china,anger,0.012639115092290988,0.013689281413087114,0.005785152008686211,7.433429417067163,0.07981677026270984,0.01073754330396283
58944,24910,157,55,china,anx,0.002663545059717698,0.0022079486150140505,0.0009330890336590662,10.065697632566676,-0.18759410875708452,-0.018636970392408803
58944,14785,2601,535,chinese,posemo,0.04412662866449511,0.036185322962461956,0.0090764115092291,6.783662264802826,-0.1984098312242438,-0.02924818829110897
58944,14785,1259,261,chinese,negemo,0.021359256243213897,0.017653026716266486,0.0044279315960912054,7.819151349521451,-0.19057793939325268,-0.02437322554255411
58944,14785,162,35,chinese,they,0.002748371335504886,0.0023672641190395673,0.0005937839305103149,10.71777432914637,-0.14927358641456917,-0.013927666494024629
58944,14785,431,73,chinese,we,0.0073120249728555915,0.004937436591139668,0.0012384636264929424,9.657232787211319,-0.3926739616269556,-0.04066112625419549
58944,14785,541,124,chinese,tentat,0.009178203040173725,0.008386878593168752,0.0021036916395222585,8.89286103570446,-0.09016302591304363,-0.010138809720633541
58944,14785,597,98,chinese,certain,0.010128257328990227,0.006628339533310788,0.0016625950054288817,9.232347501976127,-0.423974947393629,-0.04592276745463489
58944,14785,1058,231,chinese,money,0.017949239956568948,0.015623943185661142,0.003918973941368078,7.995308304675278,-0.13874321456805017,-0.01735307874080599
58944,14785,137,33,chinese,friend,0.002324239956568947,0.0022319918836658775,0.0005598534201954398,10.802663226732882,-0.04049867703324375,-0.0037489530297513517
58944,14785,2801,707,chinese,achieve,0.04751967969598263,0.047818735204599255,0.01199443539630836,6.381490941281937,0.00627357796486536,0.0009830896921409875
58944,14785,506,95,chinese,negate,0.00858441910966341,0.006425431180250254,0.001611699239956569,9.277201737760388,-0.28968509035852363,-0.03122548140560934
58944,14785,745,162,chinese,anger,0.012639115092290988,0.010957051065268853,0.002748371335504886,8.50720734320671,-0.1428131958187744,-0.0167873181006709
58944,14785,157,18,chinese,anx,0.002663545059717698,0.0012174501183632059,0.0003053745928338762,11.677132344649022,-0.7828993601237423,-0.06704551571538035
58944,7902,2601,502,philippines,posemo,0.04412662866449511,0.06352822070361934,0.00851655808903366,6.875513792140564,0.36442080288672035,0.05300270116588112
58944,7902,1259,136,philippines,negemo,0.021359256243213897,0.017210832700582133,0.0023072747014115094,8.759594504840996,-0.21594619966465228,-0.02465253380682285
58944,7902,162,15,philippines,they,0.002748371335504886,0.0018982536066818527,0.0002544788273615635,11.940166750482817,-0.37007418548653126,-0.030994055042955476
58944,7902,431,23,philippines,we,0.0073120249728555915,0.0029106555302455075,0.00039020086862106407,11.323495390034322,-0.9211419255309554,-0.08134784302925065
58944,7902,541,48,philippines,tentat,0.009178203040173725,0.006074411541381929,0.0008143322475570033,10.262094845370179,-0.41274631929494787,-0.04022047403714667
58944,7902,597,29,philippines,certain,0.010128257328990227,0.0036699569729182484,0.0004919923995656895,10.989076350963764,-1.0151493347624854,-0.09237804000455914
58944,7902,1058,174,philippines,money,0.017949239956568948,0.02201974183750949,0.002951954397394137,8.404113850242608,0.2043916354399269,0.02432042676742493
58944,7902,137,70,philippines,friend,0.002324239956568947,0.00885851683118198,0.0011875678610206298,9.71777432914637,1.3379862648648766,0.13768443468087907
58944,7902,2801,376,philippines,achieve,0.04751967969598263,0.04758289040749177,0.006378935939196526,7.292468494413698,0.0013293167734285476,0.00018228625525730467
58944,7902,506,61,philippines,negate,0.00858441910966341,0.007719564667172867,0.0010348805646036917,9.91632000852845,-0.10619085647051167,-0.010708696006097333
58944,7902,745,110,philippines,anger,0.012639115092290988,0.013920526449000253,0.0018661780673181324,9.065697632566676,0.09656809605649923,0.010652031423328963
58944,7902,157,6,philippines,anx,0.002663545059717698,0.0007593014426727411,0.00010179153094462541,13.262094845370179,-1.2550143874766104,-0.09463168542447412
58944,18609,2601,752,us,posemo,0.04412662866449511,0.04041055403299479,0.012757871878393051,6.292468494413698,-0.08797243552506018,-0.013980592132191045
