token,pc1,pc2
the,0.004392657428979874,0.18968135118484497
of,0.28905975818634033,0.5363922119140625
num,0.6956518292427063,0.4669341742992401
and,-0.3072115182876587,-0.21289722621440887
to,0.19493815302848816,-0.3205626904964447
in,0.4109745919704437,-0.07724574953317642
china,0.12928545475006104,0.004009914118796587
s,0.14732764661312103,0.24988426268100739
on,-0.203738272190094,0.7895764708518982
a,-0.06135964393615723,-0.1408439725637436
covid,0.7370965480804443,0.1843564212322235
chinese,0.2568914592266083,0.6690536737442017
for,0.20646126568317413,-0.26025694608688354
is,0.2521451413631439,-0.5210621356964111
with,-0.1325276494026184,0.19928617775440216
vaccine,0.7778515219688416,0.26812636852264404
by,0.5549249053001404,0.5778638124465942
philippines,-0.23426784574985504,0.3229673206806183
that,-0.26441875100135803,-0.3095749318599701
has,0.7201887369155884,-0.16561125218868256
as,0.25794100761413574,-0.526099443435669
from,0.45769187808036804,0.1867959052324295
said,-0.363400936126709,0.5786896347999573
us,-0.4203883111476898,-0.29639992117881775
will,0.01847345381975174,-0.4861454963684082
at,-0.41075482964515686,0.4095461666584015
are,-0.11355717480182648,-0.48921483755111694
vaccines,0.8371551036834717,0.22401683032512665
people,0.2611907720565796,0.054354675114154816
its,0.6488735675811768,-0.2277332991361618
more,0.44340643286705017,-0.06391603499650955
sinovac,0.7157105207443237,0.4900248348712921
it,0.15351659059524536,-0.5584554672241211
cgtnofficial,0.4622228443622589,-0.29910558462142944
first,0.7908240556716919,0.4237075448036194
have,0.684605062007904,-0.2605471909046173
this,-0.05330073833465576,-0.24175384640693665
be,0.397477388381958,-0.49184292554855347
countries,0.16768591105937958,-0.5430624485015869
president,-0.5946979522705078,0.552729070186615
ambassador,-0.27519330382347107,0.6442703604698181
philippine,-0.2882935702800751,0.5619024038314819
world,0.17115134000778198,-0.27558183670043945
against,0.39082980155944824,-0.1250690072774887
government,0.07601576298475266,0.49493515491485596
an,-0.3677334785461426,0.28044945001602173
million,0.776328980922699,0.42947861552238464
foreign,-0.4804336726665497,0.43156567215919495
medical,0.4440805912017822,0.40197333693504333
year,0.303838312625885,0.2039175182580948
coronavirus,0.7947213053703308,-0.1859009861946106
pandemic,0.3659549057483673,-0.2751145362854004
country,0.4742750823497772,-0.10226280242204666
been,0.7114362716674805,-0.22497344017028809
health,0.023134270682930946,0.6070667505264282
new,0.33987507224082947,-0.373346209526062
global,0.03548947721719742,-0.32320964336395264
who,0.0258298572152853,0.05147908627986908
over,0.5613202452659607,0.4370959401130676
cooperation,-0.5987308621406555,-0.15342970192432404
minister,-0.3238961398601532,0.5573698878288269
doses,0.8242011070251465,0.43516045808792114
national,0.010869346559047699,0.6560392379760742
which,0.414154052734375,-0.49873363971710205
not,0.01744714565575123,-0.7020809650421143
was,-0.0869474709033966,0.05129118636250496
city,0.21225392818450928,0.5811318159103394
fight,0.30715805292129517,-0.15670093894004822
huang_xilian,-0.22689658403396606,0.7292106747627258
about,0.2407744973897934,-0.3803415596485138
two,0.5029608011245728,-0.0761091336607933
all,-0.00889134593307972,-0.5713310241699219
than,0.47900429368019104,0.034030091017484665
other,-0.03346650302410126,-0.6045292019844055
we,-0.19716912508010864,-0.6553868651390076
their,0.3723876476287842,-0.22393791377544403
epidemic,0.22182004153728485,-0.2421894520521164
xinjiang,-0.2051599770784378,-0.24599213898181915
what,-0.18719489872455597,-0.22125647962093353
help,-0.018878713250160217,-0.42708534002304077
after,0.7360566258430481,0.2842383086681366
international,-0.4009724259376526,-0.29215094447135925
his,-0.4799077808856964,0.642412006855011
developed,0.7917901873588562,0.3945084512233734
secretary,-0.6043630838394165,0.6691797375679016
up,0.3779031038284302,-0.388886034488678
donated,0.46290868520736694,0.6416181921958923
development,-0.24868237972259521,-0.17663738131523132
video,-0.6542832851409912,0.19666844606399536
manila,0.03500254079699516,0.5264278054237366
out,-0.27848508954048157,-0.5485162138938904
chinese_embassy,-0.1802089512348175,0.7094612121582031
support,-0.186780646443367,-0.00848905835300684
virus,0.43430373072624207,-0.36834123730659485
he,-0.6006726622581482,0.2772270143032074
percent,0.5792475342750549,0.2748296558856964
no,0.24620868265628815,-0.5682377219200134
time,0.1183369904756546,-0.3570954203605652
wuhan,0.39353927969932556,-0.13200969994068146
read,-0.010701027698814869,0.05133024603128433
one,0.5255376696586609,-0.28990235924720764
also,-0.29016903042793274,-0.2183590978384018
some,-0.17689354717731476,-0.07838437706232071
media,-0.5060208439826965,0.11678236722946167
economic,-0.3971792161464691,-0.1958000659942627
thursday,-0.24330507218837738,0.7294116020202637
beijing,0.12057535350322723,0.2692248821258545
during,-0.19923442602157593,0.1381411999464035
sinopharm,0.7403340935707092,0.4170306921005249
can,0.18860690295696259,-0.6818345189094543
monday,-0.4128880798816681,0.5477639436721802
how,-0.006473854184150696,-0.5769193768501282
expert,0.07865246385335922,0.47299838066101074
