date,cat,count,n,freq
2021-05-05,tentat,1,136,0.007352941176470588
2021-05-05,certain,0,136,0.0
2021-05-05,money,4,136,0.029411764705882353
2021-05-05,friend,0,136,0.0
2021-05-05,achieve,5,136,0.03676470588235294
2021-05-05,negate,0,136,0.0
2021-05-05,anger,0,136,0.0
2021-05-05,anx,0,136,0.0
2021-05-04,posemo,4,83,0.04819277108433735
2021-05-04,negemo,1,83,0.012048192771084338
2021-05-04,they,0,83,0.0
2021-05-04,we,0,83,0.0
2021-05-04,tentat,0,83,0.0
2021-05-04,certain,1,83,0.012048192771084338
2021-05-04,money,3,83,0.03614457831325301
2021-05-04,friend,0,83,0.0
2021-05-04,achieve,7,83,0.08433734939759036
2021-05-04,negate,0,83,0.0
2021-05-04,anger,0,83,0.0
2021-05-04,anx,0,83,0.0
2021-05-03,posemo,5,125,0.04
2021-05-03,negemo,1,125,0.008
2021-05-03,they,0,125,0.0
2021-05-03,we,0,125,0.0
2021-05-03,tentat,5,125,0.04
2021-05-03,certain,1,125,0.008
2021-05-03,money,1,125,0.008
2021-05-03,friend,0,125,0.0
2021-05-03,achieve,3,125,0.024
2021-05-03,negate,0,125,0.0
2021-05-03,anger,1,125,0.008
2021-05-03,anx,0,125,0.0
2021-05-02,posemo,7,104,0.0673076923076923
2021-05-02,negemo,1,104,0.009615384615384616
2021-05-02,they,0,104,0.0
2021-05-02,we,2,104,0.019230769230769232
2021-05-02,tentat,0,104,0.0
2021-05-02,certain,1,104,0.009615384615384616
2021-05-02,money,1,104,0.009615384615384616
2021-05-02,friend,0,104,0.0
2021-05-02,achieve,7,104,0.0673076923076923
2021-05-02,negate,0,104,0.0
2021-05-02,anger,0,104,0.0
2021-05-02,anx,0,104,0.0
2021-05-01,money,3,97,0.030927835051546393
2021-05-01,posemo,12,97,0.12371134020618557
2021-05-01,negemo,0,97,0.0
2021-05-01,they,1,97,0.010309278350515464
2021-05-01,tentat,0,97,0.0
2021-05-01,certain,1,97,0.010309278350515464
2021-05-01,we,0,97,0.0
2021-05-01,friend,0,97,0.0
2021-05-01,achieve,8,97,0.08247422680412371
2021-05-01,negate,0,97,0.0
2021-05-01,anger,0,97,0.0
2021-05-01,anx,0,97,0.0
2021-04-30,posemo,5,166,0.030120481927710843
2021-04-30,negemo,0,166,0.0
2021-04-30,they,0,166,0.0
2021-04-30,we,0,166,0.0
2021-04-30,tentat,5,166,0.030120481927710843
2021-04-30,certain,0,166,0.0
2021-04-30,money,0,166,0.0
2021-04-30,friend,1,166,0.006024096385542169
2021-04-30,achieve,4,166,0.024096385542168676
2021-04-30,negate,4,166,0.024096385542168676
2021-04-30,anger,0,166,0.0
2021-04-30,anx,0,166,0.0
2021-04-29,posemo,1,114,0.008771929824561403
2021-04-29,negemo,0,114,0.0
2021-04-29,they,0,114,0.0
2021-04-29,we,0,114,0.0
2021-04-29,tentat,0,114,0.0
2021-04-29,certain,4,114,0.03508771929824561
2021-04-29,money,2,114,0.017543859649122806
2021-04-29,friend,0,114,0.0
2021-04-29,achieve,1,114,0.008771929824561403
2021-04-29,negate,0,114,0.0
2021-04-29,anger,0,114,0.0
2021-04-29,anx,0,114,0.0
2021-04-28,posemo,2,102,0.0196078431372549
2021-04-28,negemo,1,102,0.00980392156862745
2021-04-28,they,3,102,0.029411764705882353
2021-04-28,we,0,102,0.0
2021-04-28,tentat,0,102,0.0
2021-04-28,certain,0,102,0.0
2021-04-28,money,0,102,0.0
2021-04-28,friend,0,102,0.0
2021-04-28,achieve,5,102,0.049019607843137254
2021-04-28,negate,0,102,0.0
2021-04-28,anger,0,102,0.0
2021-04-28,anx,0,102,0.0
2021-04-27,posemo,2,146,0.0136986301369863
2021-04-27,negemo,4,146,0.0273972602739726
2021-04-27,they,1,146,0.00684931506849315
2021-04-27,we,1,146,0.00684931506849315
2021-04-27,tentat,1,146,0.00684931506849315
2021-04-27,certain,1,146,0.00684931506849315
2021-04-27,money,3,146,0.02054794520547945
2021-04-27,friend,0,146,0.0
2021-04-27,achieve,3,146,0.02054794520547945
2021-04-27,negate,2,146,0.0136986301369863
2021-04-27,anger,4,146,0.0273972602739726
2021-04-27,anx,0,146,0.0
